Region PSGC Number,PSGC Code of Region,Name of Region,Province PSGC Number,PSGC Code of Province,Name of Province,Municipality/City PSGC Number,PSGC Code of Municipality,Name of Municipality,Barangay PSGC Number,PSGC Code of Barangay,Name of Barangay
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,001,150702001,Arco
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,002,150702002,Ba-as
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,004,150702004,Baimbing
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,005,150702005,Balagtasan
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,006,150702006,Balas
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,007,150702007,Balobo
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,008,150702008,Bato
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,010,150702010,Boheyakan
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,011,150702011,Buahan
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,012,150702012,Boheibu
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,013,150702013,Bohesapa
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,014,150702014,Bulingan
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,016,150702016,Cabobo
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,018,150702018,Campo Uno
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,020,150702020,Colonia
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,024,150702024,Calugusan
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,025,150702025,Kulay Bato
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,028,150702028,Limo-ok
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,032,150702032,Lo-ok
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,034,150702034,Lumuton
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,035,150702035,Luksumbang
15,150000000,ARMM,07,150700000,BASILAN (excluding Isabela City),02,150702000,CITY OF LAMITAN,036,150702036,Malo-ong Canal
